"_id","_labels","accepted_answer_id","answer_count","body_markdown","creation_date","display_name","injected","is_accepted","link","name","score","synthlabel","title","updated","uuid","view_count","_start","_end","_type","deleted","updated"
"136908","Question","","0","For a given neo4j server at work, we have multiple database using the same schema. I would like to be able to quickly change the queried database of my neo4j neodash dashboard, by right now, the only way of changing DB that I see is via the edit menu of each card, meaning I need to edit each ones every time I want to change DB.

Is there a way in the interface to quickly change between DB for a given neodash?","1707325046","","true","","https//stackoverflow.com/q/77956604","","","Answer","How to change database for all cards in a neodash dashboard","false","77956604","6",,,,,
"136909","User","","","","","user2482876","true","","","","","Answer","","false","2482876","",,,,,
"136910","Question","","3","I am trying to create a node and add a new relationship setting a value but I keep on getting the same error every time

    Invalid input &#39;&quot;&#39; expected whitespace, comment, an identifier, UnsignedDecimalInteger, a property key name or &#39;}&#39; (line 6, column 3 (offset 263))
    &quot;  &quot;Value&quot; &quot;2024-02-06T111602.09Z&quot;&quot;


This is my query, can anyone please tell me what am I doing wrong? If I send this query in code, then it runs successfully, I can&#39;t determined what is wrong with this.

Many thanks.

   

    MATCH (nNode),(additionalDateAdditionalDate)
    WHERE (n.Id = &quot;xxxx1111xxxx11&quot;)
    AND (additionalDate.DateType = &quot;1&quot;)
    CREATE (additionalDate)-[additionalDateOfAdditionalDateOf]-&gt;(n)
    SET additionalDateOf = {
      &quot;Value&quot;  &quot;2024-02-06T111602.09Z&quot;
    }

","1707320711","","true","","https//stackoverflow.com/q/77956127","","","Comment","Create Node and Set a value in a relationship Neo4j","false","77956127","16",,,,,
"136911","User","","","","","cacharry","true","","","","","Comment","","false","1786078","",,,,,
"136912","Question","","0","I am using LangChain&#39;s [Neo4j Vector Index](https//python.langchain.com/docs/integrations/vectorstores/neo4jvector), and its `Neo4jVector.from_existing_index` function.

This is an example I found for the structure

```
movie_plot_vector = Neo4jVector.from_existing_index(
    embedding_provider,
    url=&quot;url&quot;,
    username=&quot;neo4j&quot;,
    password=&quot;pasword&quot;,
    index_name=&quot;customerIndex&quot;,
    embedding_node_property=&quot;embedding_customer_name&quot;,
    text_node_property=&quot;customer_name&quot;,
)

plot_retriever = RetrievalQA.from_llm(
    llm=llm,
    retriever=movie_plot_vector.as_retriever(),
    verbose=True,
    return_source_documents=True
)
```

I want to know if there is a way to search on multiple indexes, what I would imagine this would look like

```
movie_plot_vector = Neo4jVector.from_existing_index(
    embedding_provider,
    url=&quot;url&quot;,
    username=&quot;neo4j&quot;,
    password=&quot;pasword&quot;,
    index_name=[&quot;customerIndex&quot;,&quot;problemIndex&quot;]
    embedding_node_property=[&quot;embedding_customer_name&quot;,&quot;embedding_problem&quot;]
    text_node_property=[&quot;customer_name&quot;,&quot;problem_description&quot;]
)

plot_retriever = RetrievalQA.from_llm(
    llm=llm,
    retriever=movie_plot_vector.as_retriever(),
    verbose=True,
    return_source_documents=True
)
```





Or is there another function from Neo4jVector which does what I need? Can anyone guide me to find a solution please?","1707297322","","true","","https//stackoverflow.com/q/77953473","","","Tag","Neo4jVector retrieval from multiple indexes","false","77953473","25",,,,,
"136913","User","","","","","Stetco Oana","true","","","","","Answer","","false","23189309","",,,,,
"136914","Question","","0","I have a query like I wrote below. I couldn&#39;t solve the error I gave below even after a lot of effort. I encounter this error when I do any sorting operation. But not always, in specific cases. I think sometimes my query doesn&#39;t return Double(NaN) values most of the time, so I rarely encounter this error.


```
MATCH (newsNews {newsId &quot;/infografik/jurnalist/turkiye-sma-hastaligi-icin-yeni-adimlar-atiyor-26685&quot;})
WITH news
WHERE news.cleanTitle IS NOT NULL

MATCH (otherNewsNews {category news.category})
WHERE news &lt;&gt; otherNews AND otherNews.cleanTitle IS NOT NULL

WITH otherNews,
     apoc.text.sorensenDiceSimilarity(news.cleanTitle, otherNews.cleanTitle) AS sorensen
ORDER BY sorensen DESC
LIMIT 10
RETURN otherNews.title, sorensen, otherNews.category;
```

Error

```
Neo.ClientError.Statement.TypeError Wrong argument type Can&#39;t coerce Double(NaN) to String
```



I want to see results sorted correctly. When I don&#39;t sort, I can see the results without any problems. But I need the sorted version.
I tried converting the Sorensen value to string, eliminating Null or NaN values. But I was not successful.

Edit

I saw that the error was resolved when I placed the &quot;LIMIT 10&quot; line above the &quot;RETURN&quot; line. But this time the results were very inconsistent. If I don&#39;t set any limits, I still encounter the same error. I can increase my limit amount up to a certain number depending on the data I use. As I get closer to the limit I can reach, the accuracy of my returned data increases. How can I overcome this problem?

Fix

Change to this piece of code solved my problem. Thanks to @Finbar Good.

    apoc.text.sorensenDiceSimilarity(toString(news.cleanTitle), toString(otherNews.cleanTitle))","1707205669","","","","https//stackoverflow.com/q/77946019","","","Question","Neo4j cypher query Double(NaN) issue","false","77946019","48",,,,,
"136915","User","","","","","Alp Buğra Aker","","","","","","User","","false","20343725","",,,,,
"136916","Question","77944207","1","I need to fetch two related collections from a Neo4j database.

The first one is to get some things that satisfy a list of conditions, something like this

```sql
MATCH (nThing)
WHERE [complicated list of conditions]
RETURN n
ORDER BY n.label
LIMIT 25
```

the second one is to get nodes related to the nodes that satisfy the conditions, something like this

```sql
MATCH (mRelatedThing) -[Relationship]-(nThing)
WHERE [same complicated conditions about n]
RETURN m
ORDER BY m.label 
LIMIT 25
```

Crucially, the m&#39;s don&#39;t have to be related to the first 25 n&#39;s that were returned by query 1.

It seems like there is a lot of repetition between these two queries. Is there a way to run them both in a single query?

Obviously this can be done in two queries, but reading around I haven&#39;t found a good way to run both queries together. It seems like maybe COLLECT could be useful, but it doesn&#39;t quite fit the use case.

EDIT I am looking for a solution that works in version 3.5.12","1707168326","","","","https//stackoverflow.com/q/77944096","","","Question","Running two partially related cypher queries together","false","77944096","46",,,,,
"136917","User","","","","","da_ny","","","","","","User","","false","23351570","",,,,,
