"_id","_labels","date","dob","id","injected","name","shortName","stage","synthlabel","updated","year","_start","_end","_type","deleted","minute","minuteOn","penaltyScore","score","type","updated"
"20088",":Tournament","","","251475","true","Germany 2011","germany2011","","Squad","false","2011",,,,,,,,,,
"20089",":Tournament","","","278513","true","France 2019","france2019","","Team","false","2019",,,,,,,,,,
"20090",":Tournament","","","3373","true","China PR 1991","chinapr1991","","Match","false","1991",,,,,,,,,,
"20091",":Tournament","","","6929","true","USA 2003","usa2003","","Squad","false","2003",,,,,,,,,,
"20092",":Tournament","","","4654","true","Sweden 1995","sweden1995","","Team","false","1995",,,,,,,,,,
"20093",":Tournament","","","4644","","USA 1999","usa1999","","Tournament","false","1999",,,,,,,,,,
"20094",":Tournament","","","10232","","China 2007","china2007","","Tournament","false","2007",,,,,,,,,,
"20095",":Tournament","","","266030","","Canada 2015","canada2015","","Tournament","false","2015",,,,,,,,,,
"20096",":Team","","","1888631","true","Equatorial Guinea","","","Match","false","",,,,,,,,,,
"20097",":Team","","","1882893","true","Nigeria","","","Tournament","false","",,,,,,,,,,
"20098",":Team","","","1882891","true","Australia","","","Person","false","",,,,,,,,,,
"20099",":Team","","","1883723","true","Japan","","","Squad","false","",,,,,,,,,,
"20100",":Team","","","1883726","true","Korea DPR","","","Match","false","",,,,,,,,,,
"20101",":Team","","","1883720","","England","","","Team","false","",,,,,,,,,,
"20102",":Team","","","1884761","","France","","","Team","false","",,,,,,,,,,
"20103",":Team","","","1882879","","Germany","","","Team","false","",,,,,,,,,,
"20104",":Team","","","1882882","","Norway","","","Team","false","",,,,,,,,,,
"20105",":Team","","","1882883","","Sweden","","","Team","false","",,,,,,,,,,
"20106",":Team","","","1883718","","Canada","","","Team","false","",,,,,,,,,,
"20107",":Team","","","1883724","","Mexico","","","Team","false","",,,,,,,,,,
"20108",":Team","","","1882884","","USA","","","Team","false","",,,,,,,,,,
"20109",":Team","","","1883725","","New Zealand","","","Team","false","",,,,,,,,,,
"20110",":Team","","","1882881","","Brazil","","","Team","false","",,,,,,,,,,
"20111",":Team","","","1885035","","Colombia","","","Team","false","",,,,,,,,,,
"20112",":Team","","","1884881","","Argentina","","","Team","false","",,,,,,,,,,
"20113",":Team","","","1885020","","Cameroon","","","Team","false","",,,,,,,,,,
"20114",":Team","","","1885005","","Chile","","","Team","false","",,,,,,,,,,
"20115",":Team","","","1882892","","China PR","","","Team","false","",,,,,,,,,,
"20116",":Team","","","1883722","","Italy","","","Team","false","",,,,,,,,,,
"20117",":Team","","","1885011","","Jamaica","","","Team","false","",,,,,,,,,,
"20118",":Team","","","1885010","","Korea Republic","","","Team","false","",,,,,,,,,,
"20119",":Team","","","1884883","","Netherlands","","","Team","false","",,,,,,,,,,
"20120",":Team","","","1884802","","Scotland","","","Team","false","",,,,,,,,,,
"20121",":Team","","","1885031","","South Africa","","","Team","false","",,,,,,,,,,
"20122",":Team","","","1884823","","Spain","","","Team","false","",,,,,,,,,,
"20123",":Team","","","1885009","","Thailand","","","Team","false","",,,,,,,,,,
"20124",":Team","","","1883728","","Chinese Taipei","","","Team","false","",,,,,,,,,,
"20125",":Team","","","1883719","","Denmark","","","Team","false","",,,,,,,,,,
"20126",":Team","","","1883721","","Ghana","","","Team","false","",,,,,,,,,,
"20127",":Team","","","1883727","","Russia","","","Team","false","",,,,,,,,,,
"20128",":Team","","","1887476","","C̫te d'Ivoire","","","Team","false","",,,,,,,,,,
"20129",":Team","","","1884203","","Switzerland","","","Team","false","",,,,,,,,,,
"20130",":Team","","","1884880","","Costa Rica","","","Team","false","",,,,,,,,,,
"20131",":Team","","","1885022","","Ecuador","","","Team","false","",,,,,,,,,,
"20132",":Squad","","","Brazil in 2007","true","","","","Person","false","",,,,,,,,,,
"20133",":Squad","","","Germany in 2007","true","","","","Team","false","",,,,,,,,,,
"20134",":Squad","","","New Zealand in 2007","true","","","","Tournament","false","",,,,,,,,,,
"20135",":Squad","","","Ghana in 2007","true","","","","Person","false","",,,,,,,,,,
"20136",":Squad","","","China PR in 2007","true","","","","Team","false","",,,,,,,,,,
"20137",":Squad","","","Japan in 2007","","","","","Squad","false","",,,,,,,,,,
"20138",":Squad","","","Sweden in 2007","","","","","Squad","false","",,,,,,,,,,
"20139",":Squad","","","Norway in 2007","","","","","Squad","false","",,,,,,,,,,
"20140",":Squad","","","Argentina in 2007","","","","","Squad","false","",,,,,,,,,,
"20141",":Squad","","","Australia in 2007","","","","","Squad","false","",,,,,,,,,,
"20142",":Squad","","","Canada in 2007","","","","","Squad","false","",,,,,,,,,,
"20143",":Squad","","","Korea DPR in 2007","","","","","Squad","false","",,,,,,,,,,
"20144",":Squad","","","Denmark in 2007","","","","","Squad","false","",,,,,,,,,,
"20145",":Squad","","","England in 2007","","","","","Squad","false","",,,,,,,,,,
"20146",":Squad","","","Nigeria in 2007","","","","","Squad","false","",,,,,,,,,,
"20147",":Squad","","","USA in 2007","","","","","Squad","false","",,,,,,,,,,
"20148",":Squad","","","Brazil in 1999","","","","","Squad","false","",,,,,,,,,,
"20149",":Squad","","","Russia in 1999","","","","","Squad","false","",,,,,,,,,,
"20150",":Squad","","","Germany in 1999","","","","","Squad","false","",,,,,,,,,,
"20151",":Squad","","","Mexico in 1999","","","","","Squad","false","",,,,,,,,,,
"20152",":Squad","","","Ghana in 1999","","","","","Squad","false","",,,,,,,,,,
"20153",":Squad","","","China PR in 1999","","","","","Squad","false","",,,,,,,,,,
"20154",":Squad","","","Japan in 1999","","","","","Squad","false","",,,,,,,,,,
"20155",":Squad","","","Sweden in 1999","","","","","Squad","false","",,,,,,,,,,
"20156",":Squad","","","Norway in 1999","","","","","Squad","false","",,,,,,,,,,
"20157",":Squad","","","Australia in 1999","","","","","Squad","false","",,,,,,,,,,
"20158",":Squad","","","Canada in 1999","","","","","Squad","false","",,,,,,,,,,
"20159",":Squad","","","Korea DPR in 1999","","","","","Squad","false","",,,,,,,,,,
"20160",":Squad","","","Denmark in 1999","","","","","Squad","false","",,,,,,,,,,
"20161",":Squad","","","Nigeria in 1999","","","","","Squad","false","",,,,,,,,,,
"20162",":Squad","","","USA in 1999","","","","","Squad","false","",,,,,,,,,,
"20163",":Squad","","","Italy in 1999","","","","","Squad","false","",,,,,,,,,,
"20164",":Squad","","","Brazil in 2003","","","","","Squad","false","",,,,,,,,,,
"20165",":Squad","","","Russia in 2003","","","","","Squad","false","",,,,,,,,,,
"20166",":Squad","","","France in 2003","","","","","Squad","false","",,,,,,,,,,
"20167",":Squad","","","Germany in 2003","","","","","Squad","false","",,,,,,,,,,
"20168",":Squad","","","Ghana in 2003","","","","","Squad","false","",,,,,,,,,,
"20169",":Squad","","","China PR in 2003","","","","","Squad","false","",,,,,,,,,,
"20170",":Squad","","","Japan in 2003","","","","","Squad","false","",,,,,,,,,,
"20171",":Squad","","","Sweden in 2003","","","","","Squad","false","",,,,,,,,,,
"20172",":Squad","","","Korea Republic in 2003","","","","","Squad","false","",,,,,,,,,,
"20173",":Squad","","","Norway in 2003","","","","","Squad","false","",,,,,,,,,,
"20174",":Squad","","","Argentina in 2003","","","","","Squad","false","",,,,,,,,,,
"20175",":Squad","","","Australia in 2003","","","","","Squad","false","",,,,,,,,,,
"20176",":Squad","","","Canada in 2003","","","","","Squad","false","",,,,,,,,,,
"20177",":Squad","","","Korea DPR in 2003","","","","","Squad","false","",,,,,,,,,,
"20178",":Squad","","","Nigeria in 2003","","","","","Squad","false","",,,,,,,,,,
"20179",":Squad","","","USA in 2003","","","","","Squad","false","",,,,,,,,,,
"20180",":Squad","","","Brazil in 2011","","","","","Squad","false","",,,,,,,,,,
"20181",":Squad","","","France in 2011","","","","","Squad","false","",,,,,,,,,,
