,index,G,S,G_opt,R,G',Answers,Q_difficulty,framework,user,dataset,noise,V,truth,modified,tp,fp,fn,precision,recall,f1
0,0,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2359 edges,"['delete', (556, 'Comment'), (368, 'Answer'), (558, 'Tag'), (562, 'Question'), (564, 'Question'), (556, 'Question'), (531, 'Comment'), (556, 'Tag'), (1210, 'Question'), (478, 'User'), 'delete', (556, 'Question'), (556, 'Answer'), (506, 'Answer'), (556, 'Question'), (353, 'User'), (278, 'User'), (556, 'Answer'), (556, 'User'), 'delete', (1210, 'Tag'), 'delete', 'delete', (353, 'Question'), (558, 'Question'), (558, 'Answer'), (531, 'User'), 'delete', (53, 'User'), (556, 'Answer'), (21, 'Comment'), (556, 'User'), 'delete', (478, 'Answer'), (556, 'Question'), (342, 'Comment'), 'delete', (22, 'Comment'), (556, 'Tag'), (556, 'Question'), (556, 'User'), (342, 'User'), (4, 'Answer'), (584, 'User'), (53, 'Question'), 'delete', 'delete', (478, 'Question'), (1311, 'Question'), 'delete', (332, 'Comment'), 'delete', (565, 'Question'), (22, 'Question'), (278, 'Answer'), (342, 'Question'), (558, 'Question'), (164, 'Tag'), (518, 'Answer'), (558, 'Answer'), 'delete', (164, 'Answer'), (1328, 'Question'), (164, 'User'), (164, 'Question'), (558, 'Question'), (83, 'Tag'), 'delete', 'delete', (288, 'Answer'), (558, 'Answer'), (83, 'User'), 'delete', 'delete', (83, 'Answer'), (83, 'Question'), (288, 'User'), 'delete', (558, 'User'), (531, 'Question'), (288, 'Comment'), (569, 'Answer'), (209, 'Answer'), (574, 'User'), (876, 'User'), (0, 'User'), (556, 'Comment'), (278, 'Question'), (332, 'User'), (518, 'Question'), (4, 'Question'), (2, 'User'), (4, 'Tag'), 'delete', (4, 'Question'), (564, 'Tag'), (877, 'User'), (556, 'User'), (564, 'Comment'), 'delete', (556, 'Answer'), (564, 'User'), (332, 'Answer'), 'delete', 'delete', (563, 'Answer'), (1100, 'User'), (563, 'User'), (1100, 'Question'), 'delete', (565, 'Comment'), (571, 'Comment'), (570, 'Comment'), (556, 'Question'), (556, 'Tag'), (209, 'Question'), (556, 'Answer'), (288, 'Question'), (1100, 'Comment'), (1104, 'User'), 'delete', (506, 'Question'), (506, 'Answer'), (506, 'User'), 'delete', (518, 'Answer'), (518, 'User'), (518, 'Comment'), 'delete', 'delete', (560, 'Answer'), (876, 'Comment'), (1104, 'Answer'), (1104, 'Question')]","[(2, 9), (2, 9), (2, 9), (2, 9), (2, 4), (2, 3), (2, 5), (2, 9), (2, 9), (2, 4), (2, 9), (2, 9), (2, 3), (2, 9), (2, 9), (2, 4), (2, 9), (2, 9), (2, 9), (2, 5), (2, 5), (2, 9), (2, 4), (2, 4), (2, 7), (2, 4), (2, 9), (2, 5), (2, 7), (2, 9), (2, 7), (2, 7), (2, 5), (2, 5), (2, 7), (2, 5), (2, 9), (2, 9), (2, 9), (2, 9), (2, 4), (2, 9), (2, 5), (2, 5), (2, 4), (2, 5), (2, 9), (2, 5), (2, 4), (2, 4), (2, 5), (2, 9), (2, 5), (2, 4), (2, 4), (2, 7), (2, 7), (2, 5), (2, 9), (2, 9), (2, 9), (2, 4), (2, 5), (2, 5), (2, 5), (2, 7), (2, 5), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9), (2, 4), (2, 7), (2, 5), (2, 7), (2, 5), (2, 5), (2, 7), (2, 5), (2, 5), (2, 7), (2, 5), (2, 9), (2, 4), (2, 5), (2, 5), (2, 7), (2, 5), (2, 5), (2, 5), (2, 5), (2, 5), (2, 9), (2, 5), (2, 4), (2, 9), (2, 5), (2, 5), (2, 5), (2, 7), (2, 7), (2, 5), (2, 7), (2, 5), (2, 7), (2, 7), (2, 5), (2, 5), (2, 7), (2, 7), (2, 9), (2, 9), (2, 7), (2, 5), (2, 9), (2, 4), (2, 5), (2, 5), (2, 9), (2, 5), (2, 9), (2, 5), (2, 9), (2, 5), (2, 7), (2, 9), (2, 5), (2, 7), (2, 5), (2, 5), (2, 7), (2, 7), (2, 7), (2, 5)]",gree,userRandom,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(569, 'Answer'), (556, 'Answer'), (0, 'User'), (4, 'Question'), (560, 'Answer'), (2, 'User'), (1311, 'Question'), (506, 'User'), (574, 'User'), (1104, 'Question'), (565, 'Comment'), (368, 'Answer'), (562, 'Question'), (21, 'Comment'), (571, 'Comment'), (1328, 'Question'), (558, 'User'), (877, 'User'), (332, 'Answer'), (518, 'Comment'), (584, 'User'), (564, 'User'), (876, 'Comment'), (570, 'Comment')}","{(571, 'Comment'), (570, 'Comment'), (4, 'Question'), (560, 'Answer')}","{(569, 'Answer'), (1328, 'Question'), (556, 'Answer'), (558, 'User'), (0, 'User'), (877, 'User'), (2, 'User'), (1311, 'Question'), (332, 'Answer'), (506, 'User'), (574, 'User'), (1104, 'Question'), (518, 'Comment'), (565, 'Comment'), (584, 'User'), (564, 'User'), (368, 'Answer'), (562, 'Question'), (876, 'Comment'), (21, 'Comment')}","{(5, 'User'), (562, 'Answer'), (1, 'User'), (557, 'Tag'), (569, 'Comment'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question')}",0.16666666666666666,0.26666666666666666,0.20512820512820512
1,1,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2379 edges,"[(128, 'User'), (390, 'Answer'), 'delete', (556, 'Comment'), (558, 'Tag'), (390, 'Question'), (3, 'Tag'), (558, 'Comment'), (2, 'Question'), (5, 'Comment'), (5, 'Tag'), (4, 'Answer'), (565, 'Answer'), (564, 'Tag'), (4, 'Question'), (556, 'Answer'), (0, 'Question'), (0, 'Comment'), (1, 'Answer'), (0, 'Question'), (0, 'Comment'), (0, 'Tag'), 'delete', (569, 'Answer'), (0, 'Answer'), (556, 'User'), (129, 'Answer'), (2, 'User'), (2, 'Comment'), (562, 'User'), (558, 'Answer'), (2, 'Comment'), (2, 'Answer'), (3, 'User'), (2, 'Tag'), (2, 'Tag'), (2, 'Tag'), (560, 'Answer'), (2, 'Answer'), (560, 'Answer'), (560, 'Answer'), (560, 'Answer'), 'delete', (2, 'Answer'), (2, 'User'), (562, 'Question'), (2, 'Comment'), (2, 'Answer'), (2, 'Tag'), (2, 'Tag'), (556, 'User'), (2, 'Tag'), (2, 'Tag'), (556, 'Answer'), (3, 'Tag'), (2, 'Tag'), (556, 'Question'), (62, 'Question'), (556, 'Comment'), 'delete', (2, 'Answer'), 'delete', (556, 'Tag'), (128, 'Comment'), (761, 'Answer'), (761, 'Question'), (128, 'Comment'), (129, 'User'), (128, 'Question'), (556, 'Comment'), (2, 'Question'), (559, 'Question'), (559, 'Question'), (559, 'Comment'), (0, 'Tag'), (556, 'User'), 'delete', 'delete', (571, 'Tag'), (7, 'User'), (570, 'User'), (570, 'Answer'), (761, 'Answer'), (373, 'Comment'), (373, 'Question'), (557, 'Question'), (557, 'Answer'), (0, 'Answer'), (0, 'Question'), (571, 'Question'), (571, 'Answer')]","[(2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11)]",perm,userRandom,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(569, 'Answer'), (3, 'Tag'), (5, 'Tag'), (557, 'Answer'), (556, 'User'), (558, 'Answer'), (4, 'Question'), (565, 'Answer'), (570, 'Answer'), (560, 'Answer'), (0, 'Question'), (571, 'Answer'), (2, 'Question'), (562, 'Question'), (559, 'Comment')}","{(0, 'Question'), (4, 'Question'), (2, 'Question'), (560, 'Answer')}","{(569, 'Answer'), (3, 'Tag'), (5, 'Tag'), (556, 'User'), (558, 'Answer'), (570, 'Answer'), (565, 'Answer'), (571, 'Answer'), (562, 'Question'), (557, 'Answer'), (559, 'Comment')}","{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (557, 'Tag'), (569, 'Comment'), (559, 'Answer'), (556, 'Tag'), (3, 'User'), (558, 'Tag'), (570, 'Comment')}",0.26666666666666666,0.26666666666666666,0.26666666666666666
2,2,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2386 edges,"[(556, 'Comment'), (558, 'Answer'), (2, 'User'), (4, 'Question'), (1, 'Question'), (2, 'Question'), (560, 'Comment'), (0, 'User'), (559, 'Answer'), (571, 'Comment'), 'delete', 'delete', (561, 'Question'), (563, 'Question')]","[(2, 5), (2, 5), (2, 4), (2, 3), (2, 5), (2, 5), (2, 4), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 4), (2, 4)]",term,userRandom,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(562, 'Answer'), (1, 'Question'), (558, 'User'), (556, 'User'), (4, 'Question'), (559, 'Answer'), (570, 'Answer'), (571, 'Answer'), (557, 'User'), (561, 'Question'), (2, 'Question')}","{(4, 'Question'), (559, 'Answer'), (562, 'Answer'), (2, 'Question')}","{(1, 'Question'), (558, 'User'), (556, 'User'), (570, 'Answer'), (571, 'Answer'), (557, 'User'), (561, 'Question')}","{(5, 'User'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (570, 'Comment')}",0.36363636363636365,0.26666666666666666,0.3076923076923077
3,3,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2386 edges,"[(556, 'User'), (558, 'User'), (4, 'Question'), (2, 'Question'), (561, 'Question'), (1, 'Question'), (559, 'Answer'), (571, 'Answer'), (570, 'Answer'), (557, 'User'), (562, 'Answer')]","[(2, 9), (2, 9), (2, 4), (2, 5), (2, 5), (2, 5), (2, 9), (2, 9), (2, 7), (2, 9), (2, 5)]",gree,userGreedy,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(562, 'Answer'), (1, 'Question'), (558, 'User'), (556, 'User'), (4, 'Question'), (559, 'Answer'), (570, 'Answer'), (571, 'Answer'), (557, 'User'), (561, 'Question'), (2, 'Question')}","{(4, 'Question'), (559, 'Answer'), (562, 'Answer'), (2, 'Question')}","{(1, 'Question'), (558, 'User'), (556, 'User'), (570, 'Answer'), (571, 'Answer'), (557, 'User'), (561, 'Question')}","{(5, 'User'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (570, 'Comment')}",0.36363636363636365,0.26666666666666666,0.3076923076923077
4,4,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2386 edges,"[(556, 'User'), (558, 'User'), (4, 'Question'), (2, 'Question'), (561, 'Question'), (1, 'Question'), (559, 'Answer'), (571, 'Answer'), (570, 'Answer'), (557, 'User'), (562, 'Answer')]","[(2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11)]",perm,userGreedy,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(562, 'Answer'), (1, 'Question'), (558, 'User'), (556, 'User'), (4, 'Question'), (559, 'Answer'), (570, 'Answer'), (571, 'Answer'), (557, 'User'), (561, 'Question'), (2, 'Question')}","{(4, 'Question'), (559, 'Answer'), (562, 'Answer'), (2, 'Question')}","{(1, 'Question'), (558, 'User'), (556, 'User'), (570, 'Answer'), (571, 'Answer'), (557, 'User'), (561, 'Question')}","{(5, 'User'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (570, 'Comment')}",0.36363636363636365,0.26666666666666666,0.3076923076923077
5,5,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2386 edges,"[(556, 'User'), (558, 'User'), (4, 'Question'), (2, 'Question'), (561, 'Question'), (1, 'Question'), (559, 'Answer'), (571, 'Answer'), (570, 'Answer'), (557, 'User'), (562, 'Answer')]","[(2, 8), (2, 5), (2, 2), (2, 4), (2, 4), (2, 3), (2, 3), (2, 3), (2, 3), (2, 2), (2, 4)]",term,userGreedy,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(562, 'Answer'), (1, 'Question'), (558, 'User'), (556, 'User'), (4, 'Question'), (559, 'Answer'), (570, 'Answer'), (571, 'Answer'), (557, 'User'), (561, 'Question'), (2, 'Question')}","{(4, 'Question'), (559, 'Answer'), (562, 'Answer'), (2, 'Question')}","{(1, 'Question'), (558, 'User'), (556, 'User'), (570, 'Answer'), (571, 'Answer'), (557, 'User'), (561, 'Question')}","{(5, 'User'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (570, 'Comment')}",0.36363636363636365,0.26666666666666666,0.3076923076923077
6,6,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2386 edges,"[(556, 'Tag'), (558, 'Tag'), (2, 'Question'), (4, 'Question'), (0, 'Question'), (557, 'Tag'), (560, 'Answer'), (559, 'Answer'), (571, 'Comment'), (570, 'Comment'), (569, 'Comment'), (562, 'Answer')]","[(2, 9), (2, 9), (2, 4), (2, 3), (2, 5), (2, 9), (2, 7), (2, 9), (2, 9), (2, 7), (2, 5), (2, 5)]",gree,userOracle,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(562, 'Answer'), (571, 'Comment'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(571, 'Comment'), (557, 'Tag'), (569, 'Comment'), (556, 'Tag'), (4, 'Question'), (559, 'Answer'), (558, 'Tag'), (560, 'Answer'), (0, 'Question'), (562, 'Answer'), (2, 'Question'), (570, 'Comment')}",set(),"{(5, 'User'), (3, 'User'), (1, 'User')}",1.0,0.8,0.8888888888888888
7,7,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2386 edges,"[(556, 'Tag'), (558, 'Tag'), (2, 'Question'), (4, 'Question'), (0, 'Question'), (557, 'Tag'), (560, 'Answer'), (559, 'Answer'), (571, 'Comment'), (570, 'Comment'), (569, 'Comment'), (562, 'Answer')]","[(2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11)]",perm,userOracle,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(562, 'Answer'), (571, 'Comment'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(571, 'Comment'), (557, 'Tag'), (569, 'Comment'), (556, 'Tag'), (4, 'Question'), (559, 'Answer'), (558, 'Tag'), (560, 'Answer'), (0, 'Question'), (562, 'Answer'), (2, 'Question'), (570, 'Comment')}",set(),"{(5, 'User'), (3, 'User'), (1, 'User')}",1.0,0.8,0.8888888888888888
8,8,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2084 edges,Graph with 1388 nodes and 2386 edges,"[(556, 'Tag'), (558, 'Tag'), (2, 'Question'), (4, 'Question'), (0, 'Question'), (557, 'Tag'), (560, 'Answer'), (559, 'Answer'), (571, 'Comment'), (570, 'Comment'), (569, 'Comment'), (562, 'Answer')]","[(2, 5), (2, 5), (2, 3), (2, 2), (2, 3), (2, 5), (2, 4), (2, 3), (2, 3), (2, 3), (2, 4), (2, 4)]",term,userOracle,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(562, 'Answer'), (571, 'Comment'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(571, 'Comment'), (557, 'Tag'), (569, 'Comment'), (556, 'Tag'), (4, 'Question'), (559, 'Answer'), (558, 'Tag'), (560, 'Answer'), (0, 'Question'), (562, 'Answer'), (2, 'Question'), (570, 'Comment')}",set(),"{(5, 'User'), (3, 'User'), (1, 'User')}",1.0,0.8,0.8888888888888888
9,0,Graph with 1388 nodes and 2386 edges,Graph with 5 nodes and 6 edges,Graph with 1388 nodes and 2386 edges,Graph with 1388 nodes and 2083 edges,Graph with 1388 nodes and 2359 edges,"[(478, 'Tag'), 'delete', (556, 'User'), (389, 'Answer'), (156, 'User'), (212, 'Comment'), (558, 'User'), 'delete', (478, 'Answer'), (5, 'Question'), 'delete', (156, 'Comment'), (562, 'User'), 'delete', 'delete', (1271, 'User'), (561, 'Question'), (0, 'Question'), (557, 'Answer'), (3, 'Question'), (4, 'Question'), (4, 'Comment'), (564, 'Question'), (248, 'Comment'), (944, 'User'), (248, 'Question'), (564, 'Answer'), (564, 'Question'), (209, 'Comment'), (876, 'Question'), (332, 'Answer'), (209, 'Question'), (53, 'Answer'), 'delete', 'delete', (876, 'User'), (562, 'Answer'), (209, 'User'), 'delete', 'delete', (210, 'Comment'), 'delete', (562, 'User'), (571, 'Tag'), (563, 'Answer'), (985, 'User'), (1279, 'User'), (563, 'Question'), (570, 'Question'), (570, 'Comment'), (47, 'Question'), (248, 'Tag'), (248, 'Question'), (46, 'Comment'), 'delete', (46, 'Question'), (47, 'Answer'), 'delete', (619, 'Question'), (53, 'Question'), (564, 'Comment'), (564, 'Question'), 'delete', (806, 'User'), (806, 'Answer'), (156, 'User'), (156, 'Comment'), 'delete', (876, 'Answer'), 'delete', (248, 'Comment'), (248, 'Question'), (564, 'Comment'), (332, 'Question'), (564, 'Question'), (564, 'Answer'), (564, 'User'), (564, 'Answer'), (4, 'Question'), (4, 'Tag'), (564, 'Question'), (332, 'Tag'), (332, 'Comment'), (248, 'Tag'), (248, 'Question'), (248, 'Answer'), (943, 'User'), (942, 'User'), (47, 'Question'), 'delete', (619, 'Tag'), (248, 'Question'), 'delete', (46, 'Answer'), (46, 'Question'), (46, 'Comment'), (46, 'Question'), (46, 'Answer'), (616, 'Question'), (46, 'User'), (556, 'Question'), (419, 'Answer'), (54, 'Answer'), (434, 'Answer'), (70, 'Tag'), (556, 'User'), 'delete', (656, 'Question'), 'delete', (70, 'Question'), (419, 'Question'), 'delete', (1203, 'Question'), (46, 'Question'), (46, 'User'), (556, 'Answer'), (332, 'Question'), (556, 'Question'), (556, 'Tag'), (2, 'Question'), (389, 'Question'), (54, 'Question'), (556, 'Answer'), (556, 'Question'), (556, 'Tag'), 'delete', (556, 'User'), (3, 'Tag'), (332, 'User'), (332, 'Answer'), 'delete', (656, 'Comment'), (248, 'Tag'), (248, 'Question'), (564, 'Comment'), 'delete', (309, 'Comment'), (309, 'Question'), (616, 'Tag'), (616, 'Answer'), (332, 'Question'), (1204, 'User'), (478, 'Question'), (692, 'Answer'), 'delete', (692, 'User'), (692, 'Answer'), 'delete', (1258, 'User'), 'delete', (1110, 'Question'), (1004, 'Question'), (692, 'Question'), (692, 'User'), (1271, 'Question'), (297, 'Comment'), (1006, 'User'), 'delete', (1007, 'User'), (1008, 'Question'), (1010, 'User'), (297, 'Question'), (1008, 'Tag'), (1007, 'Comment'), (1258, 'Answer'), (1004, 'Tag'), (1010, 'Comment'), (1008, 'Comment'), (1110, 'Answer'), (1271, 'Comment'), (1004, 'Comment')]","[(2, 9), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9), (2, 4), (2, 5), (2, 4), (2, 3), (2, 7), (2, 4), (2, 5), (2, 5), (2, 5), (2, 7), (2, 5), (2, 9), (2, 5), (2, 3), (2, 9), (2, 4), (2, 9), (2, 5), (2, 4), (2, 9), (2, 5), (2, 9), (2, 5), (2, 9), (2, 5), (2, 9), (2, 4), (2, 4), (2, 9), (2, 7), (2, 9), (2, 5), (2, 7), (2, 7), (2, 7), (2, 5), (2, 9), (2, 7), (2, 5), (2, 5), (2, 5), (2, 7), (2, 9), (2, 7), (2, 9), (2, 5), (2, 9), (2, 5), (2, 5), (2, 9), (2, 5), (2, 5), (2, 4), (2, 9), (2, 5), (2, 9), (2, 5), (2, 7), (2, 5), (2, 7), (2, 5), (2, 7), (2, 5), (2, 9), (2, 5), (2, 9), (2, 5), (2, 5), (2, 9), (2, 5), (2, 7), (2, 5), (2, 9), (2, 4), (2, 9), (2, 5), (2, 9), (2, 5), (2, 9), (2, 5), (2, 5), (2, 5), (2, 5), (2, 9), (2, 4), (2, 9), (2, 9), (2, 5), (2, 9), (2, 4), (2, 9), (2, 4), (2, 5), (2, 7), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9), (2, 5), (2, 3), (2, 5), (2, 5), (2, 5), (2, 5), (2, 4), (2, 7), (2, 9), (2, 7), (2, 5), (2, 5), (2, 9), (2, 4), (2, 4), (2, 4), (2, 5), (2, 5), (2, 9), (2, 5), (2, 4), (2, 9), (2, 9), (2, 7), (2, 9), (2, 9), (2, 9), (2, 4), (2, 9), (2, 4), (2, 9), (2, 5), (2, 9), (2, 5), (2, 5), (2, 4), (2, 4), (2, 7), (2, 5), (2, 5), (2, 7), (2, 5), (2, 5), (2, 5), (2, 5), (2, 5), (2, 5), (2, 9), (2, 7), (2, 9), (2, 5), (2, 5), (2, 5), (2, 5), (2, 5), (2, 5), (2, 9), (2, 7), (2, 7), (2, 9), (2, 7), (2, 5), (2, 9), (2, 9), (2, 5)]",gree,userRandom,stackoverflow,0,1388,"{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (0, 'Question'), (3, 'User'), (558, 'Tag'), (2, 'Question'), (570, 'Comment')}","{(156, 'Comment'), (1006, 'User'), (942, 'User'), (563, 'Question'), (209, 'User'), (46, 'User'), (944, 'User'), (1203, 'Question'), (1110, 'Answer'), (656, 'Comment'), (434, 'Answer'), (47, 'Question'), (557, 'Answer'), (5, 'Question'), (1271, 'Comment'), (571, 'Tag'), (3, 'Tag'), (210, 'Comment'), (619, 'Tag'), (212, 'Comment'), (558, 'User'), (556, 'User'), (985, 'User'), (616, 'Answer'), (943, 'User'), (562, 'User'), (564, 'Comment'), (1004, 'Comment'), (1258, 'Answer'), (0, 'Question'), (1204, 'User'), (1279, 'User'), (561, 'Question'), (2, 'Question'), (570, 'Comment')}","{(0, 'Question'), (2, 'Question'), (570, 'Comment')}","{(156, 'Comment'), (1006, 'User'), (942, 'User'), (563, 'Question'), (209, 'User'), (46, 'User'), (944, 'User'), (1203, 'Question'), (1110, 'Answer'), (656, 'Comment'), (434, 'Answer'), (47, 'Question'), (557, 'Answer'), (5, 'Question'), (1271, 'Comment'), (571, 'Tag'), (3, 'Tag'), (210, 'Comment'), (619, 'Tag'), (212, 'Comment'), (558, 'User'), (556, 'User'), (985, 'User'), (616, 'Answer'), (943, 'User'), (562, 'User'), (564, 'Comment'), (1004, 'Comment'), (1258, 'Answer'), (1204, 'User'), (1279, 'User'), (561, 'Question')}","{(5, 'User'), (562, 'Answer'), (571, 'Comment'), (1, 'User'), (560, 'Answer'), (557, 'Tag'), (569, 'Comment'), (4, 'Question'), (559, 'Answer'), (556, 'Tag'), (3, 'User'), (558, 'Tag')}",0.08571428571428572,0.2,0.12
