s,index,G,S,G_opt,R,G',Answers,Q_difficulty,framework,user,dataset,noise,V,truth,modified,tp,fp,fn,precision,recall,f1
2,2,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13399 edges,Graph with 2486 nodes and 13895 edges,"[(1120, 'Team'), (9, 'Match'), (10, 'Team'), (0, 'Team'), (76, 'Team'), (3, 'Person'), (11, 'Team'), ('delete'), (2, 'Tournament'), ('delete'), (9, 'Team'), (2203, 'Match'), (2206, 'Match'), (2204, 'Match'), ('delete'), (1, 'Person'), ('delete'), (47, 'Team'), (46, 'Team'), ('delete'), (44, 'Team'), (183, 'Person'), ('delete'), ('delete'), ('delete'), (12, 'Team'), (0, 'Person'), (180, 'Person'), (4, 'Person'), (182, 'Tournament'), (8, 'Team'), (76, 'Match'), (184, 'Tournament'), ('delete'), (2205, 'Match'), (44, 'Match'), ('delete'), ('delete'), (2202, 'Match'), (46, 'Squad'), (181, 'Tournament'), (48, 'Match'), (47, 'Match')]","[(2, 5), (2, 5), (2, 5), (2, 5), (2, 5), (2, 4), (2, 2), (2, 4), (2, 4), (2, 2), (2, 3), (2, 4), (2, 4), (2, 4), (2, 3), (2, 3), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 2), (2, 2), (2, 4), (2, 2), (2, 3), (2, 4), (2, 3), (2, 4), (2, 2), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)]",term,userRandom,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(3, 'Person'), (181, 'Person'), (9, 'Team'), (11, 'Team'), (183, 'Person'), (2203, 'Match'), (44, 'Match'), (46, 'Match'), (8, 'Team'), (48, 'Match'), (0, 'Person'), (10, 'Team'), (2, 'Person'), (2205, 'Match'), (12, 'Team'), (180, 'Person'), (4, 'Person'), (182, 'Person'), (2202, 'Match'), (1, 'Person'), (2204, 'Match'), (2206, 'Match'), (45, 'Match'), (184, 'Person'), (47, 'Match')}","{(2202, 'Match'), (181, 'Person'), (2203, 'Match'), (9, 'Team'), (2204, 'Match'), (11, 'Team'), (2206, 'Match'), (184, 'Person'), (12, 'Team'), (180, 'Person'), (8, 'Team'), (182, 'Person'), (10, 'Team'), (183, 'Person'), (2205, 'Match')}","{(3, 'Person'), (1, 'Person'), (44, 'Match'), (45, 'Match'), (46, 'Match'), (4, 'Person'), (47, 'Match'), (48, 'Match'), (0, 'Person'), (2, 'Person')}","{(1, 'Tournament'), (44, 'Squad'), (4, 'Tournament'), (45, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (47, 'Squad'), (2, 'Tournament'), (48, 'Squad'), (3, 'Tournament')}",0.6,0.6,0.6
3,3,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13399 edges,Graph with 2486 nodes and 13895 edges,"[(9, 'Team'), (10, 'Team'), (0, 'Person'), (3, 'Person'), (11, 'Team'), (2, 'Person'), (2203, 'Match'), (2206, 'Match'), (2204, 'Match'), (1, 'Person'), (46, 'Match'), (47, 'Match'), (183, 'Person'), (44, 'Match'), (180, 'Person'), (12, 'Team'), (4, 'Person'), (182, 'Person'), (8, 'Team'), (2202, 'Match'), (181, 'Person'), (2205, 'Match'), (45, 'Match'), (184, 'Person'), (48, 'Match')]","[(2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 9), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 9), (2, 7), (2, 7), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9)]",gree,userGreedy,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(3, 'Person'), (181, 'Person'), (9, 'Team'), (11, 'Team'), (183, 'Person'), (2203, 'Match'), (44, 'Match'), (46, 'Match'), (8, 'Team'), (48, 'Match'), (0, 'Person'), (10, 'Team'), (2, 'Person'), (2205, 'Match'), (12, 'Team'), (180, 'Person'), (4, 'Person'), (182, 'Person'), (2202, 'Match'), (1, 'Person'), (2204, 'Match'), (2206, 'Match'), (45, 'Match'), (184, 'Person'), (47, 'Match')}","{(2202, 'Match'), (181, 'Person'), (2203, 'Match'), (9, 'Team'), (2204, 'Match'), (11, 'Team'), (2206, 'Match'), (184, 'Person'), (12, 'Team'), (180, 'Person'), (8, 'Team'), (182, 'Person'), (10, 'Team'), (183, 'Person'), (2205, 'Match')}","{(3, 'Person'), (1, 'Person'), (44, 'Match'), (45, 'Match'), (46, 'Match'), (4, 'Person'), (47, 'Match'), (48, 'Match'), (0, 'Person'), (2, 'Person')}","{(1, 'Tournament'), (44, 'Squad'), (4, 'Tournament'), (45, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (47, 'Squad'), (2, 'Tournament'), (48, 'Squad'), (3, 'Tournament')}",0.6,0.6,0.6
4,4,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13399 edges,Graph with 2486 nodes and 13895 edges,"[(9, 'Team'), (10, 'Team'), (0, 'Person'), (3, 'Person'), (11, 'Team'), (2, 'Person'), (2203, 'Squad'), (2206, 'Squad'), (2204, 'Squad'), (1, 'Person'), (46, 'Squad'), (47, 'Squad'), (183, 'Person'), (44, 'Squad'), (180, 'Person'), (12, 'Team'), (4, 'Person'), (182, 'Person'), (8, 'Team'), (2202, 'Squad'), (181, 'Person'), (2205, 'Squad'), (45, 'Squad'), (184, 'Person'), (48, 'Squad')]","[(2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11)]",perm,userGreedy,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(3, 'Person'), (181, 'Person'), (9, 'Team'), (2203, 'Squad'), (11, 'Team'), (44, 'Squad'), (46, 'Squad'), (183, 'Person'), (48, 'Squad'), (2205, 'Squad'), (8, 'Team'), (0, 'Person'), (10, 'Team'), (2, 'Person'), (2202, 'Squad'), (2204, 'Squad'), (12, 'Team'), (2206, 'Squad'), (45, 'Squad'), (4, 'Person'), (180, 'Person'), (47, 'Squad'), (182, 'Person'), (1, 'Person'), (184, 'Person')}","{(181, 'Person'), (182, 'Person'), (9, 'Team'), (11, 'Team'), (184, 'Person'), (44, 'Squad'), (48, 'Squad'), (12, 'Team'), (45, 'Squad'), (8, 'Team'), (180, 'Person'), (46, 'Squad'), (47, 'Squad'), (10, 'Team'), (183, 'Person')}","{(3, 'Person'), (2205, 'Squad'), (2202, 'Squad'), (1, 'Person'), (2203, 'Squad'), (2204, 'Squad'), (2206, 'Squad'), (4, 'Person'), (0, 'Person'), (2, 'Person')}","{(2202, 'Match'), (1, 'Tournament'), (2203, 'Match'), (2204, 'Match'), (2206, 'Match'), (4, 'Tournament'), (0, 'Tournament'), (2, 'Tournament'), (3, 'Tournament'), (2205, 'Match')}",0.6,0.6,0.6
5,5,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13399 edges,Graph with 2486 nodes and 13895 edges,"[(9, 'Team'), (10, 'Team'), (0, 'Person'), (3, 'Person'), (11, 'Team'), (2, 'Person'), (2203, 'Match'), (2206, 'Match'), (2204, 'Match'), (1, 'Person'), (46, 'Match'), (47, 'Match'), (183, 'Person'), (44, 'Match'), (180, 'Person'), (12, 'Team'), (4, 'Person'), (182, 'Person'), (8, 'Team'), (2202, 'Match'), (181, 'Person'), (2205, 'Match'), (45, 'Match'), (184, 'Person'), (48, 'Match')]","[(2, 5), (2, 5), (2, 4), (2, 5), (2, 2), (2, 4), (2, 4), (2, 4), (2, 4), (2, 3), (2, 6), (2, 4), (2, 4), (2, 4), (2, 5), (2, 2), (2, 3), (2, 4), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)]",term,userGreedy,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(3, 'Person'), (181, 'Person'), (9, 'Team'), (11, 'Team'), (183, 'Person'), (2203, 'Match'), (44, 'Match'), (46, 'Match'), (8, 'Team'), (48, 'Match'), (0, 'Person'), (10, 'Team'), (2, 'Person'), (2205, 'Match'), (12, 'Team'), (180, 'Person'), (4, 'Person'), (182, 'Person'), (2202, 'Match'), (1, 'Person'), (2204, 'Match'), (2206, 'Match'), (45, 'Match'), (184, 'Person'), (47, 'Match')}","{(2202, 'Match'), (181, 'Person'), (2203, 'Match'), (9, 'Team'), (2204, 'Match'), (11, 'Team'), (2206, 'Match'), (184, 'Person'), (12, 'Team'), (180, 'Person'), (8, 'Team'), (182, 'Person'), (10, 'Team'), (183, 'Person'), (2205, 'Match')}","{(3, 'Person'), (1, 'Person'), (44, 'Match'), (45, 'Match'), (46, 'Match'), (4, 'Person'), (47, 'Match'), (48, 'Match'), (0, 'Person'), (2, 'Person')}","{(1, 'Tournament'), (44, 'Squad'), (4, 'Tournament'), (45, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (47, 'Squad'), (2, 'Tournament'), (48, 'Squad'), (3, 'Tournament')}",0.6,0.6,0.6
6,6,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13399 edges,Graph with 2486 nodes and 13895 edges,"[(9, 'Team'), (10, 'Team'), (0, 'Tournament'), (3, 'Tournament'), (11, 'Team'), (2, 'Tournament'), (2203, 'Match'), (2206, 'Match'), (2204, 'Match'), (1, 'Tournament'), (46, 'Squad'), (47, 'Squad'), (183, 'Person'), (44, 'Squad'), (180, 'Person'), (12, 'Team'), (4, 'Tournament'), (182, 'Person'), (8, 'Team'), (45, 'Squad'), (181, 'Person'), (2202, 'Match'), (2205, 'Match'), (184, 'Person'), (48, 'Squad')]","[(2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 9), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 9), (2, 7), (2, 7), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9)]",gree,userOracle,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (48, 'Squad'), (183, 'Person'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}",set(),set(),1.0,1.0,1.0
7,7,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13399 edges,Graph with 2486 nodes and 13895 edges,"[(9, 'Team'), (10, 'Team'), (0, 'Tournament'), (3, 'Tournament'), (11, 'Team'), (2, 'Tournament'), (2203, 'Match'), (2206, 'Match'), (2204, 'Match'), (1, 'Tournament'), (46, 'Squad'), (47, 'Squad'), (183, 'Person'), (44, 'Squad'), (180, 'Person'), (12, 'Team'), (4, 'Tournament'), (182, 'Person'), (8, 'Team'), (2202, 'Match'), (181, 'Person'), (2205, 'Match'), (45, 'Squad'), (184, 'Person'), (48, 'Squad')]","[(2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11)]",perm,userOracle,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (48, 'Squad'), (183, 'Person'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}",set(),set(),1.0,1.0,1.0
8,8,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13399 edges,Graph with 2486 nodes and 13895 edges,"[(9, 'Team'), (10, 'Team'), (0, 'Tournament'), (3, 'Tournament'), (11, 'Team'), (2, 'Tournament'), (2203, 'Match'), (2206, 'Match'), (2204, 'Match'), (1, 'Tournament'), (46, 'Squad'), (47, 'Squad'), (183, 'Person'), (44, 'Squad'), (180, 'Person'), (12, 'Team'), (4, 'Tournament'), (182, 'Person'), (8, 'Team'), (45, 'Squad'), (184, 'Person'), (2202, 'Match'), (2205, 'Match'), (181, 'Person'), (48, 'Squad')]","[(2, 5), (2, 5), (2, 4), (2, 4), (2, 3), (2, 4), (2, 4), (2, 4), (2, 4), (2, 3), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 2), (2, 3), (2, 4), (2, 2), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)]",term,userOracle,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (48, 'Squad'), (183, 'Person'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}",set(),set(),1.0,1.0,1.0
11,2,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13398 edges,Graph with 2486 nodes and 13895 edges,"[('delete'), (9, 'Match'), ('delete'), (1076, 'Team'), (10, 'Squad'), (2419, 'Team'), (0, 'Person'), (3, 'Person'), (11, 'Team'), (2, 'Person'), ('delete'), ('delete'), ('delete'), ('delete'), (10, 'Team'), (9, 'Team'), ('delete'), (2206, 'Match'), (2203, 'Match'), ('delete'), ('delete'), (2204, 'Match'), (1, 'Tournament'), (46, 'Match'), (47, 'Squad'), (183, 'Person'), (44, 'Squad'), (180, 'Team'), ('delete'), (12, 'Team'), (4, 'Person'), (182, 'Team'), ('delete'), (184, 'Person'), ('delete'), (181, 'Tournament'), ('delete'), (2419, 'Squad'), (45, 'Squad'), (182, 'Tournament'), (2202, 'Match'), (2205, 'Squad'), (8, 'Team'), (1076, 'Person'), ('delete'), (48, 'Match')]","[(2, 5), (2, 5), (2, 5), (2, 5), (2, 5), (2, 5), (2, 4), (2, 4), (2, 2), (2, 4), (2, 2), (2, 3), (2, 2), (2, 3), (2, 2), (2, 2), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 3), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 2), (2, 2), (2, 3), (2, 4), (2, 2), (2, 3), (2, 2), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3), (2, 2), (2, 3), (2, 3), (2, 3)]",term,userRandom,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(3, 'Person'), (181, 'Person'), (9, 'Team'), (11, 'Team'), (183, 'Person'), (2203, 'Match'), (44, 'Match'), (46, 'Match'), (8, 'Team'), (48, 'Match'), (0, 'Person'), (10, 'Team'), (2, 'Person'), (2205, 'Match'), (12, 'Team'), (180, 'Person'), (4, 'Person'), (182, 'Person'), (2202, 'Match'), (1, 'Person'), (2204, 'Match'), (2206, 'Match'), (45, 'Match'), (184, 'Person'), (47, 'Match')}","{(2202, 'Match'), (181, 'Person'), (2203, 'Match'), (9, 'Team'), (2204, 'Match'), (11, 'Team'), (2206, 'Match'), (184, 'Person'), (12, 'Team'), (180, 'Person'), (8, 'Team'), (182, 'Person'), (10, 'Team'), (183, 'Person'), (2205, 'Match')}","{(3, 'Person'), (1, 'Person'), (44, 'Match'), (45, 'Match'), (46, 'Match'), (4, 'Person'), (47, 'Match'), (48, 'Match'), (0, 'Person'), (2, 'Person')}","{(1, 'Tournament'), (44, 'Squad'), (4, 'Tournament'), (45, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (47, 'Squad'), (2, 'Tournament'), (48, 'Squad'), (3, 'Tournament')}",0.6,0.6,0.6
12,3,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13398 edges,Graph with 2486 nodes and 13895 edges,"[(9, 'Team'), (10, 'Team'), (0, 'Person'), (3, 'Person'), (11, 'Team'), (2, 'Person'), (2203, 'Match'), (2206, 'Match'), (2204, 'Match'), (1, 'Person'), (46, 'Match'), (47, 'Match'), (183, 'Person'), (44, 'Match'), (180, 'Person'), (12, 'Team'), (4, 'Person'), (182, 'Person'), (8, 'Team'), (2202, 'Match'), (184, 'Person'), (2205, 'Match'), (45, 'Match'), (181, 'Person'), (48, 'Match')]","[(2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 9), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 9), (2, 7), (2, 7), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9), (2, 9)]",gree,userGreedy,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(3, 'Person'), (181, 'Person'), (9, 'Team'), (11, 'Team'), (183, 'Person'), (2203, 'Match'), (44, 'Match'), (46, 'Match'), (8, 'Team'), (48, 'Match'), (0, 'Person'), (10, 'Team'), (2, 'Person'), (2205, 'Match'), (12, 'Team'), (180, 'Person'), (4, 'Person'), (182, 'Person'), (2202, 'Match'), (1, 'Person'), (2204, 'Match'), (2206, 'Match'), (45, 'Match'), (184, 'Person'), (47, 'Match')}","{(2202, 'Match'), (181, 'Person'), (2203, 'Match'), (9, 'Team'), (2204, 'Match'), (11, 'Team'), (2206, 'Match'), (184, 'Person'), (12, 'Team'), (180, 'Person'), (8, 'Team'), (182, 'Person'), (10, 'Team'), (183, 'Person'), (2205, 'Match')}","{(3, 'Person'), (1, 'Person'), (44, 'Match'), (45, 'Match'), (46, 'Match'), (4, 'Person'), (47, 'Match'), (48, 'Match'), (0, 'Person'), (2, 'Person')}","{(1, 'Tournament'), (44, 'Squad'), (4, 'Tournament'), (45, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (47, 'Squad'), (2, 'Tournament'), (48, 'Squad'), (3, 'Tournament')}",0.6,0.6,0.6
13,4,Graph with 2486 nodes and 13895 edges,Graph with 5 nodes and 8 edges,Graph with 2486 nodes and 13895 edges,Graph with 2486 nodes and 13398 edges,Graph with 2486 nodes and 13895 edges,"[(9, 'Team'), (10, 'Team'), (0, 'Person'), (3, 'Person'), (11, 'Team'), (2, 'Person'), (2203, 'Squad'), (2206, 'Squad'), (2204, 'Squad'), (1, 'Person'), (46, 'Squad'), (47, 'Squad'), (183, 'Person'), (44, 'Squad'), (180, 'Person'), (12, 'Team'), (4, 'Person'), (182, 'Person'), (8, 'Team'), (45, 'Squad'), (181, 'Person'), (2202, 'Squad'), (2205, 'Squad'), (184, 'Person'), (48, 'Squad')]","[(2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11), (2, 11)]",perm,userGreedy,wwc19,0,2486,"{(181, 'Person'), (9, 'Team'), (11, 'Team'), (44, 'Squad'), (0, 'Tournament'), (46, 'Squad'), (2, 'Tournament'), (183, 'Person'), (48, 'Squad'), (2203, 'Match'), (4, 'Tournament'), (8, 'Team'), (10, 'Team'), (2205, 'Match'), (1, 'Tournament'), (12, 'Team'), (45, 'Squad'), (180, 'Person'), (182, 'Person'), (47, 'Squad'), (3, 'Tournament'), (2202, 'Match'), (2204, 'Match'), (2206, 'Match'), (184, 'Person')}","{(3, 'Person'), (181, 'Person'), (9, 'Team'), (2203, 'Squad'), (11, 'Team'), (44, 'Squad'), (46, 'Squad'), (183, 'Person'), (48, 'Squad'), (2205, 'Squad'), (8, 'Team'), (0, 'Person'), (10, 'Team'), (2, 'Person'), (2202, 'Squad'), (2204, 'Squad'), (12, 'Team'), (2206, 'Squad'), (45, 'Squad'), (4, 'Person'), (180, 'Person'), (47, 'Squad'), (182, 'Person'), (1, 'Person'), (184, 'Person')}","{(181, 'Person'), (182, 'Person'), (9, 'Team'), (11, 'Team'), (184, 'Person'), (44, 'Squad'), (48, 'Squad'), (12, 'Team'), (45, 'Squad'), (8, 'Team'), (180, 'Person'), (46, 'Squad'), (47, 'Squad'), (10, 'Team'), (183, 'Person')}","{(3, 'Person'), (2205, 'Squad'), (2202, 'Squad'), (1, 'Person'), (2203, 'Squad'), (2204, 'Squad'), (2206, 'Squad'), (4, 'Person'), (0, 'Person'), (2, 'Person')}","{(2202, 'Match'), (1, 'Tournament'), (2203, 'Match'), (2204, 'Match'), (2206, 'Match'), (4, 'Tournament'), (0, 'Tournament'), (2, 'Tournament'), (3, 'Tournament'), (2205, 'Match')}",0.6,0.6,0.6
